date,timestamp,price,pct_change,log_return,vader,textblob,roberta,roberta_large,bertweet
2025-04-10,1744326280889,79715.508089801,-4.024688378262242,-0.04107919820118458,0.23076923076923078,0.34615384615384615,0.057692307692307696,0.6153846153846154,0.11538461538461539
2025-04-11,1744412524630,83403.67277102497,4.626658939524253,0.04522819874864265,0.25,0.5,0.1346153846153846,0.6538461538461539,0.1346153846153846
2025-04-12,1744498883055,85369.94860925588,2.3575410685199527,0.02330180262847499,0.27450980392156865,0.29411764705882354,0.11764705882352941,0.6078431372549019,0.09803921568627451
2025-04-13,1744585497456,83330.90244768845,-2.3884823580019754,-0.0241746909044859,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.37254901960784315,0.0784313725490196
2025-04-14,1744671884792,84516.57227578854,1.4228452990106444,0.014128178599837712,0.23529411764705882,0.35294117647058826,0.21568627450980393,0.6078431372549019,0.21568627450980393
2025-04-15,1744758293080,83820.92705842877,-0.8230873527262594,-0.008264934194899721,0.23076923076923078,0.36538461538461536,-0.019230769230769232,0.46153846153846156,0.0
2025-04-16,1744844692293,84463.89043079078,0.7670678372643458,0.007641408304855844,0.2777777777777778,0.2962962962962963,0.14814814814814814,0.4074074074074074,0.018518518518518517
2025-04-17,1744930939439,84837.31546385802,0.4421120447597904,0.0044113760049382805,0.2549019607843137,0.2549019607843137,0.17647058823529413,0.5686274509803921,0.1568627450980392
2025-04-18,1745017449563,84507.5553544359,-0.38869701100172627,-0.0038945440110571172,0.5185185185185185,0.3148148148148148,0.16666666666666666,0.6296296296296297,0.24074074074074073
2025-04-19,1745103896247,85246.71284128349,0.8746643820750188,0.008708613529076826,0.11764705882352941,0.23529411764705882,0.0,0.4117647058823529,0.0
2025-04-20,1745190286701,84832.44738276633,-0.485960625001991,-0.004871452530895494,0.3018867924528302,0.2830188679245283,0.11320754716981132,0.5471698113207547,0.1320754716981132
2025-04-21,1745276599294,87118.9841439109,2.69535635442375,0.026596714290509756,0.27450980392156865,0.29411764705882354,0.058823529411764705,0.5686274509803921,0.058823529411764705
2025-04-22,1745363376120,92890.82073039186,6.6252340327414005,0.06415001473568205,0.26,0.22,0.18,0.68,0.2
2025-04-23,1745449583353,93775.79949419561,0.952708520438561,0.009481988727208634,0.40384615384615385,0.25,0.09615384615384616,0.5769230769230769,0.17307692307692307
2025-04-24,1745535705573,93463.48432069764,-0.33304453300587733,-0.0033360036075644594,0.5094339622641509,0.2641509433962264,0.11320754716981132,0.3584905660377358,0.05660377358490566
2025-04-25,1745622282984,94928.50897300708,1.5674834540541527,0.015553253187479847,0.23529411764705882,0.27450980392156865,0.1568627450980392,0.5686274509803921,0.058823529411764705
2025-04-26,1745708530001,94749.59569570786,-0.18847159745244424,-0.0018864942864366238,0.38461538461538464,0.3269230769230769,0.038461538461538464,0.5,0.15384615384615385
2025-04-27,1745795376186,93875.1098671888,-0.9229441266720539,-0.009272296449842881,0.43137254901960786,0.43137254901960786,0.11764705882352941,0.37254901960784315,-0.058823529411764705
2025-04-28,1745881781062,94892.31622725037,1.0835740820976714,0.010777454851166808,0.6,0.4,0.12,0.76,0.18
2025-04-29,1745942662446,94884.37969661214,-0.008363723169346748,-8.364072948176173e-05,0.34,0.38,0.06,0.52,0.08
